t,r,u,x1,x2
-19.15,40,37.1466181604807,38.3582411636428,38.7154839674884
-19.1,40,37.1467676219174,38.3592757811181,38.7163568264088
-19.05,40,37.1469184629857,38.3603099138348,38.7172280792523
-19,40,37.1470706730405,38.3613435586169,38.7180977389338
-18.95,40,37.1472242414481,38.3623767123344,38.7189658182668
-18.9,40,37.1473791575891,38.3634093719033,38.7198323299636
-18.85,40,37.1475354108577,38.3644415342849,38.7206972866357
-18.8,40,37.1476929906628,38.3654731964854,38.7215607007943
-18.75,40,37.1478518864303,38.3665043555556,38.7224225848506
-18.7,40,37.1480120876029,38.3675350085904,38.7232829511161
-18.65,40,37.1481735836416,38.3685651527284,38.7241418118032
-18.6,40,37.1483363640257,38.3695947851513,38.7249991790255
-18.55,40,37.1485004182555,38.3706239030841,38.7258550647982
-18.5,40,37.1486657358508,38.3716525037938,38.7267094810384
-18.45,40,37.148832306354,38.3726805845897,38.7275624395658
-18.4,40,37.1490001193292,38.3737081428228,38.7284139521028
-18.35,40,37.1491691643643,38.3747351758851,38.7292640302753
-18.3,40,37.1493394310711,38.3757616812096,38.7301126856126
-18.25,40,37.1495109090862,38.3767876562699,38.7309599295484
-18.2,40,37.1496835880721,38.3778130985794,38.7318057734208
-18.15,40,37.1498574577171,38.3788380056914,38.7326502284728
-18.1,40,37.1500325077376,38.3798623751982,38.7334933058532
-18.05,40,37.150208727877,38.3808862047312,38.7343350166163
-18,40,37.1503861079077,38.3819094919604,38.735175371723
-17.95,40,37.150564637631,38.3829322345937,38.7360143820407
-17.9,40,37.1507443068782,38.3839544303768,38.7368520583442
-17.85,40,37.1509251055117,38.3849760770928,38.737688411316
-17.8,40,37.1511070234244,38.3859971725618,38.7385234515466
-17.75,40,37.1512900505415,38.3870177146407,38.7393571895352
-17.7,40,37.1514741768205,38.3880377012222,38.74018963569
-17.65,40,37.1516593922518,38.3890571302353,38.7410208003288
-17.6,40,37.1518456868601,38.3900759996444,38.7418506936792
-17.55,40,37.152033050703,38.3910943074489,38.7426793258793
